# r[Mpc/h], xi_u\psi[L^2], xi_\psi\psi[L^2]
2.262262262262262595e+02 -7.187263767041085494e-02 -5.211051063560404734e-03
2.272272272272272460e+02 -7.171034579558964450e-02 -5.233043225124766641e-03
2.282282282282282608e+02 -7.154846730588283743e-02 -5.254989696389949887e-03
2.292292292292292473e+02 -7.138699479630022937e-02 -5.276886636098952754e-03
2.302302302302302621e+02 -7.122594321298486575e-02 -5.298734095085588097e-03
2.312312312312312486e+02 -7.106530799929806907e-02 -5.320532210976954869e-03
2.322322322322322634e+02 -7.090510130623012275e-02 -5.342281158530078761e-03
2.332332332332332498e+02 -7.074532406254915862e-02 -5.363981121757941707e-03
2.342342342342342647e+02 -7.058597738077156125e-02 -5.385632237077919368e-03
2.352352352352352511e+02 -7.042706710167513651e-02 -5.407234620603688577e-03
2.362362362362362660e+02 -7.026859861940432106e-02 -5.428788462041088045e-03
2.372372372372372524e+02 -7.011057334937911834e-02 -5.450293735628690059e-03
2.382382382382382673e+02 -6.995299353365837247e-02 -5.471750622812189026e-03
2.392392392392392537e+02 -6.979586596475285953e-02 -5.493157840120229708e-03
2.402402402402402686e+02 -6.963918631067940457e-02 -5.514519908347071016e-03
2.412412412412412550e+02 -6.948297021020170827e-02 -5.535831162345557742e-03
2.422422422422422699e+02 -6.932720588093219116e-02 -5.557096029900193516e-03
2.432432432432432563e+02 -6.917190576076200081e-02 -5.578313228821211653e-03
2.442442442442442712e+02 -6.901706414261341016e-02 -5.599482904589371535e-03
2.452452452452452576e+02 -6.886268992045453674e-02 -5.620606802820446619e-03
2.462462462462462724e+02 -6.870878139959304964e-02 -5.641681967047834992e-03
2.472472472472472589e+02 -6.855534234300164620e-02 -5.662710894916148617e-03
2.482482482482482737e+02 -6.840237275343304113e-02 -5.683691152768888082e-03
2.492492492492492602e+02 -6.824987491697719066e-02 -5.704625413677462571e-03
2.502502502502502750e+02 -6.809785107862308118e-02 -5.725513019269129478e-03
2.512512512512512615e+02 -6.794630090496595054e-02 -5.746354167712601144e-03
2.522522522522522763e+02 -6.779522613249633345e-02 -5.767149010535392931e-03
2.532532532532532628e+02 -6.764462998702674978e-02 -5.787897639444922540e-03
2.542542542542542776e+02 -6.749450931760016259e-02 -5.808600174830033831e-03
2.552552552552552640e+02 -6.734486858425445255e-02 -5.829256755329343016e-03
2.562562562562562789e+02 -6.719570725644313791e-02 -5.849867519462913570e-03
2.572572572572572653e+02 -6.704702771698495267e-02 -5.870432640391634767e-03
2.582582582582583086e+02 -6.689882585789823366e-02 -5.890952330397840678e-03
2.592592592592592950e+02 -6.675110974156474308e-02 -5.911426754814639618e-03
2.602602602602602815e+02 -6.660387203738671325e-02 -5.931856019846423224e-03
2.612612612612612679e+02 -6.645711926011771409e-02 -5.952240218657566147e-03
2.622622622622623112e+02 -6.631084966451089580e-02 -5.972579488276887234e-03
2.632632632632632976e+02 -6.616506322778809013e-02 -5.992873912345680031e-03
2.642642642642642841e+02 -6.601975715287870805e-02 -6.013124481690917955e-03
2.652652652652652705e+02 -6.587493674751536410e-02 -6.033329247578981223e-03
2.662662662662663138e+02 -6.573059939097217197e-02 -6.053490545376808731e-03
